other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
7d6cbdea0a254fdc9ca9bd0140b89fcb,,wakefield,RI,Electronics and Appliance Stores,Electronics Stores
a7b218c69771362bb6ce3ccf183b282e,,clinton,CT,Social Advocacy Organizations,Other Social Advocacy Organizations
baf0d963f78b482092d694b91c7e49e9,,westbrook,CT,Other Amusement and Recreation Industries,Marinas
c058d3cd68af345f9c32b44344d73f0f,,enfield,CT,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
cea4ceba3be644b98e704b5d64613c08,,wethersfield,CT,Religious Organizations,Religious Organizations
9fb0e8f690a030cbbce3f61df454bdd2,,ledyard,CT,Traveler Accommodation,Casino Hotels
b76aa87431a431079b5dd1be5df96190,,mashantucket,CT,Traveler Accommodation,Hotels (except Casino Hotels) and Motels
c009d655a12d4226bf0eea36591866d3,,mystic,CT,Clothing Stores,Clothing Accessories Stores
e68d7fc96b594d4184e8347325543183,,orange,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
5ab7c6ca9c714267a722d0b212821a79,,farmington,CT,Traveler Accommodation,Hotels (except Casino Hotels) and Motels
ec5a032866ba4133a51908495635a9aa,,pawcatuck,CT,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers
f10dd2627dee4257806bb72fccaf0570,,norwalk,CT,Restaurants and Other Eating Places,Full-Service Restaurants
aaac211feef634ae8e3d2dd9a540a9c0,,west hartford,CT,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores
fe0cd7d166aa472799dd5fb576f1b648,,Farmington,ct,Restaurants and Other Eating Places,Full-Service Restaurants
95d37c020b254090b79aac6fe5551614,,torrington,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
ae89d65a26ce49848dd263d9f8e6acaf,,avon,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
5dd253ceff263e3e90ab48afd47b7b7f,,north branford,CT,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores
14e93cd526953cd7ae742afe8ff6bfb0,,mystic,CT,Performing Arts Companies,
37d24fb79e2540958eab9938bf0de135,,plainville,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
46453f3caaef3bb0aa1630fd2b6d1f71,,hamden,CT,Traveler Accommodation,Hotels (except Casino Hotels) and Motels
cacbfdbbfc414cef9c73f5485ac96094,,farmington,CT,Restaurants and Other Eating Places,Full-Service Restaurants
151ea2eb1d9136218deb0fd559588908,,new britain,CT,"Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities"
e5497898485733c18b79e7ee06487f98,,wethersfield,CT,Personal Care Services,"Hair, Nail, and Skin Care Services"
ec19e2ae32e0461693aae25dff7e879b,,newington,CT,"Office Supplies, Stationery, and Gift Stores",Office Supplies and Stationery Stores
607d02b36c2d46649621dec7a0e4db28,,tolland,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
0644aea115ea468bbe2c0e7ff0ec444f,,trumbull,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
